"","Name","Edition","City","Country","Owner","Seeker","Trader","Rarity","WillingnessToTrade","Popularity"
"33","2016 Chinese Valentines Blue mug with bearista keychain","Limited Edition","Various","China",1,1,0,0.00227790432801822,0,0.000911577028258888
"34","2016 Chinese Valentines Pink mug with bearista keychain","Limited Edition","Various","China",1,1,0,0.00227790432801822,0,0.000911577028258888
"35","2016 Chinese Valentines Blue Mug","Limited Edition","Various","China",0,1,0,0.00227790432801822,0,0
"36","2016 Chinese Valentines Pink Mug","Limited Edition","Various","China",0,1,0,0.00227790432801822,0,0
"37","Hawaii ceramic Logo Tumbler","Limited Edition","Various","USA",4,3,1,0.00341685649202733,0.3,0.00364630811303555
"38","Hawaii","Limited Edition","Various","USA",5,4,1,0.00455580865603645,0.25,0.00455788514129444
"39","Dongguan","Relief Series","Dongguan","China",5,18,1,0.020501138952164,0.25,0.00455788514129444
"40","Xiamen","Relief Series","Xiamen","China",5,18,1,0.020501138952164,0.25,0.00455788514129444
"41","Nanning","Relief Series","Nanning","China",4,19,1,0.0216400911161731,0.3,0.00364630811303555
"42","Romeo & Juliet - Arrow To My Heart","Holiday Mugs","Various","USA",3,0,1,0,0.375,0.00273473108477666
"43","You Are Here In Athens","13 You Are Here Series","Athens","Greece",10,32,1,0.0364464692482916,0.136363636363636,0.00911577028258888
"44","You Are Here In Hanoi","13 You Are Here Series","Hanoi","Vietnam",10,31,1,0.0353075170842825,0.136363636363636,0.00911577028258888
"45","You Are Here In Ho Chi Minh City","13 You Are Here Series","Ho Chi Minh","Vietnam",10,32,1,0.0364464692482916,0.136363636363636,0.00911577028258888
"46","Korea 17th Anniversary Demi","Asian Artsy Design Mugs","Various","South Korea",6,2,0,0.00455580865603645,0,0.00546946216955333
"47","Korea 17th Anniversary mug","Asian Artsy Design Mugs","Various","South Korea",7,1,0,0.00227790432801822,0,0.00638103919781222
"48","hot cup holiday","Undefined Series","Various","Canada",3,0,1,0,0.375,0.00273473108477666
"49","WORLD GLOBE","02 Barista series","Various","Canada",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"50","logo pint glass","Undefined Series","Various","Canada",2,0,1,0,0.5,0.00182315405651778
"51","Macau YAH","13 You Are Here Series","Macau","China",7,34,2,0.0258162490508732,0.375,0.00638103919781222
"52","Hong Kong YAH","13 You Are Here Series","Hong Kong","China",8,34,2,0.0258162490508732,0.333333333333333,0.0072926162260711
"53","You Are Here In Vietnam","13 You Are Here Series","Hanoi","Vietnam",9,38,1,0.0432801822323462,0.15,0.00820419325432999
"54","Kuwait YAH","13 You Are Here Series","Kuwait","Kuwait",4,39,1,0.0444191343963554,0.3,0.00364630811303555
"55","San Miguel de Allende","08 Icon Edition","San Miguel de Allende","Mexico",15,79,1,0.0899772209567198,0.09375,0.0136736554238833
"56","2016 Summer Mug","Limited Edition","Various","Brazil",2,1,0,0.00227790432801822,0,0.00182315405651778
"57","Leon","08 Icon Edition","Leon","Mexico",18,78,1,0.0888382687927107,0.0789473684210526,0.01640838650866
"58","Morelia","08 Icon Edition","Morelia","Mexico",14,84,0,0.191343963553531,0,0.0127620783956244
"59","Queretaro","08 Icon Edition","Queretaro","Mexico",19,78,1,0.0888382687927107,0.075,0.0173199635369189
"60","2016 Vivienne Tam Red Swell Bottle","Limited Edition","Various","Singapore",3,0,1,0,0.375,0.00273473108477666
"61","2016 Vivienne Tam Tumbler","Limited Edition","Various","Singapore",8,2,1,0.00227790432801822,0.166666666666667,0.0072926162260711
"62","2016 Yellow Roastery Mug","Limited Edition","Seattle","USA",3,2,0,0.00455580865603645,0,0.00273473108477666
"63","2016 Grey Sprinkled Roastery Mug","Limited Edition","Seattle","USA",3,1,0,0.00227790432801822,0,0.00273473108477666
"64","2016 Grey Starbucks Roastery Maquette Mug","Limited Edition","Seattle","USA",2,6,0,0.0136674259681093,0,0.00182315405651778
"65","Barcelona YAH","13 You Are Here Series","Barcelona","Spain",2,47,1,0.0535307517084282,0.5,0.00182315405651778
"66","Madrid YAH","13 You Are Here Series","Madrid","Spain",2,47,2,0.0356871678056188,1,0.00182315405651778
"67","Puebla","08 Icon Edition","Puebla","Mexico",23,85,3,0.0484054669703872,0.1875,0.0209662716499544
"68","Istanbul","13 You Are Here Series","Various","Turkey",16,45,1,0.05125284738041,0.0882352941176471,0.0145852324521422
"69","Kazan","08 Icon Edition","Kazan","Russia",60,65,12,0.0113895216400911,0.295081967213115,0.0546946216955333
"70","2004 Holiday Pink Trees Latte 16oz","Holiday Mugs","Various","USA",2,0,0,0,0,0.00182315405651778
"71","2004 Holiday Poinsettia embossed reliefe 16oz","Holiday Mugs","Various","USA",2,0,0,0,0,0.00182315405651778
"72","2006 Holiday Red Latte 16oz","Holiday Mugs","Various","USA",2,0,0,0,0,0.00182315405651778
"73","Walking Girl Glass Cup","Limited Edition","Various","Japan",4,0,0,0,0,0.00364630811303555
"74","Walking Girl mug","Limited Edition","Various","Japan",5,0,0,0,0,0.00455788514129444
"75","Dubai","13 You Are Here Series","Dubai","United Arab Emirates",22,46,3,0.0261958997722096,0.195652173913043,0.0200546946216955
"76","2016 Chinese New Year Mug","Holiday Mugs","Various","Malaysia",5,0,1,0,0.25,0.00455788514129444
"77","2016 Summer Seaside Glass","Limited Edition","Various","Taiwan",4,3,1,0.00341685649202733,0.3,0.00364630811303555
"78","2016 Pride Reusable Cup","Limited Edition","Various","Taiwan",7,4,1,0.00455580865603645,0.1875,0.00638103919781222
"79","2016 Seashell Mug","Limited Edition","Various","China",0,3,0,0.00683371298405467,0,0
"80","2016 Father's Day Mug","Limited Edition","Various","China",1,2,0,0.00455580865603645,0,0.000911577028258888
"81","2016 Summer Seaside Mug","Limited Edition","Shanghai","China",0,2,0,0.00455580865603645,0,0
"82","2016 Summer Octopus Glass","Limited Edition","Various","South Korea",5,0,0,0,0,0.00455788514129444
"83","2016 Summer Dolphin Glass","Limited Edition","Various","South Korea",5,0,0,0,0,0.00455788514129444
"84","2016 Submarine Mug","Limited Edition","Various","South Korea",7,1,2,0.000759301442672741,0.375,0.00638103919781222
"85","2016 Summer Octopus Mug","Limited Edition","Various","South Korea",6,0,0,0,0,0.00546946216955333
"86","2016 Mint Dolphin Demimug","Limited Edition","Various","South Korea",8,2,0,0.00455580865603645,0,0.0072926162260711
"87","2016 16th Anniversary East China Tumbler","Non-City Tumbler","Various","China",1,0,0,0,0,0.000911577028258888
"88","2016 16th Anniversary East China Mug","Starbucks Anniversary Mugs","Various","China",3,0,1,0,0.375,0.00273473108477666
"89","2016 1000 Stores Tumbler","Non-City Tumbler","Various","China",1,0,0,0,0,0.000911577028258888
"90","2016 1000 Stores Mug","Starbucks Anniversary Mugs","Various","China",3,0,0,0,0,0.00273473108477666
"91","DC Cold Cup Tumbler","City Tumbler","Washington D.C.","USA",1,1,0,0.00227790432801822,0,0.000911577028258888
"92","2016 Ice cone Frappuccino Glass","Limited Edition","Various","Taiwan",4,1,1,0.00113895216400911,0.3,0.00364630811303555
"93","2016 Yellow and Black Dots 8oz","Limited Edition","Various","USA",0,1,0,0.00227790432801822,0,0
"94","2016 Watermelon Popsicle 8oz","Limited Edition","Various","USA",0,0,0,0,0,0
"95","You Are Here Hawaii Water Bottle","City Tumbler","Hawaii","USA",2,4,0,0.00911161731207289,0,0.00182315405651778
"96","2004 Clover Brewed Demitasse","Mini Mugs","Various","USA",2,0,0,0,0,0.00182315405651778
"97","The Morning Glory coffee - We proudly brew, Made in USA","Limited Edition","Various","USA",1,1,0,0.00227790432801822,0,0.000911577028258888
"98","Paris","13 You Are Here Series","Paris","France",0,79,0,0.17995444191344,0,0
"99","Vienna","13 You Are Here Series","Vienna","Austria",29,59,2,0.0447987851176917,0.1,0.0264357338195077
"100","You Are Here in Copenhagen","13 You Are Here Series","Copenhagen","Denmark",24,64,1,0.0728929384965831,0.06,0.0218778486782133
"101","You Are Here New Orleans Water Bottle","City Tumbler","New Orleans","USA",2,7,0,0.0159453302961276,0,0.00182315405651778
"102","Nantes","13 You Are Here Series","Nantes","France",14,67,3,0.0381548974943052,0.3,0.0127620783956244
"103","You Are Here San Diego Water Bottle","City Tumbler","San Diego","USA",2,4,1,0.00455580865603645,0.5,0.00182315405651778
"104","You Are Here Portland Water Bottle","City Tumbler","Portland","USA",1,3,0,0.00683371298405467,0,0.000911577028258888
"105","2016 Whipped Top Frappuccino Cold Cup Orange 16oz","Limited Edition","Various","Germany",1,0,0,0,0,0.000911577028258888
"106","2016 Stackable Heritage Mug grey 12oz","Limited Edition","Various","Germany",2,1,0,0.00227790432801822,0,0.00182315405651778
"107","2016 Stackable Heritage Mug Blue 12oz","Limited Edition","Various","Germany",3,1,1,0.00113895216400911,0.375,0.00273473108477666
"108","2016 Stackable heritage Mug Pink 12oz","Limited Edition","Various","Germany",5,1,1,0.00113895216400911,0.25,0.00455788514129444
"109","2016 Swirl Top Cold Cup Blue 16oz","Limited Edition","Various","Germany",3,0,0,0,0,0.00273473108477666
"110","2016 Ceramic to Go Mug Soft Pink 8oz","Limited Edition","Various","Germany",2,1,0,0.00227790432801822,0,0.00182315405651778
"111","2016 Swirl Top Cold Cup 16oz","Non-City Tumbler","Various","Germany",2,0,0,0,0,0.00182315405651778
"112","2016 Tapered Heritage Mug grey 12oz","Limited Edition","Various","Germany",4,1,0,0.00227790432801822,0,0.00364630811303555
"113","2016 Tapered Heritage Mug Blue 12oz","Undefined Series","Various","Germany",6,1,0,0.00227790432801822,0,0.00546946216955333
"114","2016 Tapered Heritage Mug Pink 12oz","Limited Edition","Various","Germany",6,1,0,0.00227790432801822,0,0.00546946216955333
"115","2016 Light BlueThank you Mug","Limited Edition","Various","South Korea",4,0,0,0,0,0.00364630811303555
"116","2016 Pink Thank you Mug","Limited Edition","Various","South Korea",3,0,0,0,0,0.00273473108477666
"117","You Are Here Twin Cities Water Bottle","City Tumbler","Twin Cities","USA",1,4,0,0.00911161731207289,0,0.000911577028258888
"118","Munich","13 You Are Here Series","Munich","Germany",39,62,8,0.0156922298152367,0.3,0.0355515041020966
"119","You Are Here Orlando Water Bottle","City Tumbler","Orlando","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"120","London","13 You Are Here Series","London","United Kingdom",1,93,0,0.211845102505695,0,0.000911577028258888
"121","Moscow","13 You Are Here Series","Moscow","Russia",38,53,7,0.0150911161731207,0.269230769230769,0.0346399270738377
"122","You Are Here Kentucky Water Bottle","City Tumbler","Kentucky","USA",2,5,0,0.0113895216400911,0,0.00182315405651778
"123","Kazakhstan - Bayterek Monument","08 Icon Edition","Kazakhstan","Kazakhstan",35,109,2,0.0827638572513288,0.0833333333333333,0.0319051959890611
"124","2005 Jazz Band Tumbler","Non-City Tumbler","Various","Japan",2,0,1,0,0.5,0.00182315405651778
"125","You Are Here Wisconsin Water Bottle","City Tumbler","Wisconsin","USA",2,4,1,0.00455580865603645,0.5,0.00182315405651778
"126","Summer Floral","Undefined Series","Various","USA",4,0,0,0,0,0.00364630811303555
"127","Taiyuan","Relief Series","Taiyuan","China",12,21,2,0.0159453302961276,0.230769230769231,0.0109389243391067
"128","Kazakhstan","Icon Tumbler","Kazakhstan","Kazakhstan",3,3,1,0.00341685649202733,0.375,0.00273473108477666
"129","Berlin","13 You Are Here Series","Berlin","Germany",12,79,2,0.0599848139711465,0.230769230769231,0.0109389243391067
"130","2016 Sakura Troy Stainless Steel Tumbler","Non-City Tumbler","Various","South Korea",3,1,0,0.00227790432801822,0,0.00273473108477666
"131","Waking Up Bakersfield","Non-City Tumbler","Bakersfield","USA",1,0,0,0,0,0.000911577028258888
"132","2016 Paul&Joe Crabs Traveler","Limited Edition","Various","Taiwan",5,2,2,0.00151860288534548,0.5,0.00455788514129444
"133","2016 Paul&Joe Kitten Traveler","Limited Edition","Various","Taiwan",7,1,3,0.000569476082004556,0.5625,0.00638103919781222
"134","Foshan","Relief Series","Foshan","China",10,26,2,0.0197418375094913,0.272727272727273,0.00911577028258888
"135","Harbin","Relief Series","Harbin","China",10,26,2,0.0197418375094913,0.272727272727273,0.00911577028258888
"136","Changchun","Relief Series","Changchun","China",11,26,2,0.0197418375094913,0.25,0.0100273473108478
"137","Shenyang","Relief Series","Shenyang","China",13,25,2,0.0189825360668185,0.214285714285714,0.0118505013673655
"138","Dalian","Relief Series","Dalian","China",13,25,2,0.0189825360668185,0.214285714285714,0.0118505013673655
"139","Seattle Sonics","City Tumbler","Seattle","USA",0,0,0,0,0,0
"140","Palembang","Indonesia Dancers","Palembang","Indonesia",1,1,0,0.00227790432801822,0,0.000911577028258888
"141","2016 Cubic Roastery Mug","Limited Edition","Seattle","USA",2,1,0,0.00227790432801822,0,0.00182315405651778
"142","2016 Blue Tung Flower Mug","Limited Edition","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"143","2016 Lemon Bottle","Limited Edition","Various","South Korea",0,0,0,0,0,0
"144","2016 Strawberry Bottle","Limited Edition","Various","South Korea",0,0,0,0,0,0
"145","2016 Summer Raspberry Logo Mug","Limited Edition","Various","South Korea",1,2,0,0.00455580865603645,0,0.000911577028258888
"146","2016 Summer Mint Logo Mug","Limited Edition","Various","South Korea",1,1,0,0.00227790432801822,0,0.000911577028258888
"147","2016 Hangeul Scripture Mug","Limited Edition","Various","South Korea",5,0,0,0,0,0.00455788514129444
"148","2016 Summer Blueberry Demimug","Limited Edition","Various","South Korea",4,1,0,0.00227790432801822,0,0.00364630811303555
"149","2016 Summer Strawberry Demimug","Limited Edition","Various","South Korea",5,2,0,0.00455580865603645,0,0.00455788514129444
"150","2016 Summer Lemon Demimug","Limited Edition","Various","South Korea",4,2,0,0.00455580865603645,0,0.00364630811303555
"151","You Are Here North Carolina Water Bottle","City Tumbler","North Carolina","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"152","You Are Here Dallas Water Bottle","City Tumbler","Dallas","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"153","You Are Here Alaska Water Bottle","City Tumbler","Alaska","USA",1,4,0,0.00911161731207289,0,0.000911577028258888
"154","You Are Here Virginia Water Bottle","City Tumbler","Virginia","USA",3,4,1,0.00455580865603645,0.375,0.00273473108477666
"155","You Are Here Philadelphia Water Bottle","City Tumbler","Philadelphia","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"156","You Are Here Ohio Water Bottle","City Tumbler","Ohio","USA",2,4,0,0.00911161731207289,0,0.00182315405651778
"157","You Are Here New Jersey Water Bottle","City Tumbler","New Jersey","USA",3,4,0,0.00911161731207289,0,0.00273473108477666
"158","You Are Here Nashville Water Bottle","City Tumbler","Nashville","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"159","You Are Here Illinois Water Bottle","City Tumbler","Illinois","USA",3,3,0,0.00683371298405467,0,0.00273473108477666
"160","You Are Here Houston Water Bottle","City Tumbler","Houston","USA",5,2,0,0.00455580865603645,0,0.00455788514129444
"161","You Are Here Colorado Water Bottle","City Tumbler","Colorado","USA",4,3,1,0.00341685649202733,0.3,0.00364630811303555
"162","You Are Here Atlanta Water Bottle","City Tumbler","Atlanta","USA",2,3,0,0.00683371298405467,0,0.00182315405651778
"163","You Are Here Arizona Water Bottle","City Tumbler","Arizona","USA",4,4,2,0.00303720577069096,0.6,0.00364630811303555
"164","Johannesburg","13 You Are Here Series","Johannesburg","South Africa",52,50,5,0.0189825360668185,0.141509433962264,0.0474020054694622
"165","South Africa - Bushveld Fauna","08 Icon Edition","Various","South Africa",82,89,10,0.0184303168357838,0.180722891566265,0.0747493163172288
"166","Lijiang Relief Mug","Relief Series","Lijiang","China",12,23,2,0.017463933181473,0.230769230769231,0.0109389243391067
"167","Wuhan Relief Mug","Relief Series","Wuhan","China",13,22,2,0.0167046317388003,0.214285714285714,0.0118505013673655
"168","Kunming Relief Mug","Relief Series","Kunming","China",13,21,2,0.0159453302961276,0.214285714285714,0.0118505013673655
"169","Changsha Relief Mug","Relief Series","Changsha","China",13,21,2,0.0159453302961276,0.214285714285714,0.0118505013673655
"170","2016 Green Elements Mug","Limited Edition","Various","China",0,0,0,0,0,0
"171","2016 Planting Mug Set","Undefined Series","Various","Taiwan",3,0,1,0,0.375,0.00273473108477666
"172","2016 Plants in the City Mug","Limited Edition","Various","China",3,0,0,0,0,0.00273473108477666
"173","2016 Harmonious Plant Mug","Limited Edition","Various","China",2,1,0,0.00227790432801822,0,0.00182315405651778
"174","2016 Anchor Mug","Limited Edition","Various","Taiwan",3,0,2,0,0.75,0.00273473108477666
"175","2016 Bangka Store Mug","Limited Edition","Taipei","Taiwan",7,2,2,0.00151860288534548,0.375,0.00638103919781222
"176","2016 Bangka Store Red Mug","Limited Edition","Taipei","Taiwan",8,2,2,0.00151860288534548,0.333333333333333,0.0072926162260711
"177","2016 Tung Flower Mug","Limited Edition","Various","Taiwan",4,0,2,0,0.6,0.00364630811303555
"178","2016 Tung Flower Demimug","Limited Edition","Various","Taiwan",4,0,2,0,0.6,0.00364630811303555
"179","2015 Etched Siren Tall Mug","Limited Edition","Various","USA",2,0,0,0,0,0.00182315405651778
"180","2015 Caleidoscope Stainless Steel Tumbler","Non-City Tumbler","Various","USA",1,0,0,0,0,0.000911577028258888
"181","2015 Multiple Siren Stainless Steel Tumbler","Non-City Tumbler","Various","USA",1,0,0,0,0,0.000911577028258888
"182","Guatemala Taster cup","Mini Mugs","Various","Japan",8,5,0,0.0113895216400911,0,0.0072926162260711
"183","Summer 2016 Dots Double wall glass cup","Limited Edition","Various","Japan",3,0,0,0,0,0.00273473108477666
"184","2008 Floral Relief Mug","Limited Edition","Various","China",2,0,0,0,0,0.00182315405651778
"185","Chile ΙΙ","08 Icon Edition","Various","Chile",46,103,1,0.117312072892938,0.0319148936170213,0.0419325432999088
"186","Roppongi Hills 13th Anniversary mug","Limited Edition","Tokyo","Japan",13,4,3,0.00227790432801822,0.321428571428571,0.0118505013673655
"187","Nashville mini YAH 2016","14 YAH ornaments","Nashville","USA",11,21,0,0.0478359908883827,0,0.0100273473108478
"188","Michigan mini YAH 2016","14 YAH ornaments","Michigan","USA",16,18,2,0.0136674259681093,0.176470588235294,0.0145852324521422
"189","Orlando mini YAH 2016","14 YAH ornaments","Orlando","USA",14,20,0,0.0455580865603645,0,0.0127620783956244
"190","2016 Frosted Pattern Glass 14oz","Limited Edition","Various","USA",2,0,0,0,0,0.00182315405651778
"191","Miami Mini YAH 2016","14 YAH ornaments","Miami","USA",17,18,0,0.041002277904328,0,0.0154968094804011
"192","2016 Sakura Opaque Glass","Limited Edition","Various","Taiwan",7,0,2,0,0.375,0.00638103919781222
"193","Washington D.C. mini YAH 2016","13 YAH Series Mini","Washington D.C.","USA",17,15,3,0.00854214123006834,0.25,0.0154968094804011
"194","North Carolina mini YAH 2016","13 YAH Series Mini","Various","USA",11,19,0,0.0432801822323462,0,0.0100273473108478
"195","Colorado mini YAH 2016","13 YAH Series Mini","Various","USA",13,18,1,0.020501138952164,0.107142857142857,0.0118505013673655
"196","Florida mini YAH 2016","13 YAH Series Mini","Various","USA",18,17,2,0.0129081245254366,0.157894736842105,0.01640838650866
"197","Chicago mini YAH 2016","14 YAH ornaments","Chicago","USA",22,16,3,0.00911161731207289,0.195652173913043,0.0200546946216955
"198","Philadelphia mini YAH 2016","14 YAH ornaments","Philadelphia","USA",23,18,3,0.010250569476082,0.1875,0.0209662716499544
"199","Virginia mini YAH 2016","14 YAH ornaments","Various","USA",18,18,1,0.020501138952164,0.0789473684210526,0.01640838650866
"200","New Jersey mini YAH 2016","14 YAH ornaments","New Jersey","USA",22,17,1,0.0193621867881549,0.0652173913043478,0.0200546946216955
"201","Dallas mini YAH 2016","14 YAH ornaments","Dallas","USA",19,18,1,0.020501138952164,0.075,0.0173199635369189
"202","Houston mini YAH 2016","14 YAH ornaments","Houston","USA",14,20,0,0.0455580865603645,0,0.0127620783956244
"203","Texas mini YAH 2016","14 YAH ornaments","Various","USA",22,16,2,0.0121488230827639,0.130434782608696,0.0200546946216955
"204","Arizona mini YAH 2016","14 YAH ornaments","Various","USA",20,17,2,0.0129081245254366,0.142857142857143,0.0182315405651778
"205","2016 ANA Sakura Stainless Bottle (350mL)","Non-City Tumbler","Various","Japan",2,1,0,0.00227790432801822,0,0.00182315405651778
"206","Alaska mini YAH 2016","14 YAH ornaments","Various","USA",14,21,0,0.0478359908883827,0,0.0127620783956244
"207","Brunei - Nodding Donkey","Icon Tumbler","Various","Brunei",1,2,0,0.00455580865603645,0,0.000911577028258888
"208","2016 Set of two Cherry Blossom Glasses","Undefined Series","Various","South Korea",4,3,1,0.00341685649202733,0.3,0.00364630811303555
"209","2016 Cherry Blossom demimug 3oz","Limited Edition","Various","South Korea",5,3,1,0.00341685649202733,0.25,0.00455788514129444
"210","2016 Cherry Blossom Mug 16 oz","Limited Edition","Various","South Korea",4,1,0,0.00227790432801822,0,0.00364630811303555
"211","2016 Cherry Blossom Petal Demimug 3oz","Limited Edition","Various","South Korea",4,3,0,0.00683371298405467,0,0.00364630811303555
"212","2016 Colour Block Blue Mug","Non-City Tumbler","Various","Germany",3,0,0,0,0,0.00273473108477666
"213","2016 Colour Block Pink Mug","Non-City Tumbler","Various","Germany",3,0,0,0,0,0.00273473108477666
"214","2016 Stainless Steel Cherry Blossom Tumbler","Non-City Tumbler","Various","Germany",3,1,0,0.00227790432801822,0,0.00273473108477666
"215","2016 Stainless Steel Curved Tumbler","Non-City Tumbler","Various","Germany",1,1,0,0.00227790432801822,0,0.000911577028258888
"216","Bogor Dancer Tumbler","Indonesia Dancers","Bogor","Indonesia",2,0,1,0,0.5,0.00182315405651778
"217","California mini YAH 2016","14 YAH ornaments","Various","USA",20,19,3,0.0108200455580866,0.214285714285714,0.0182315405651778
"218","Ohio mini YAH 2016","14 YAH ornaments","Ohio","USA",15,23,0,0.0523917995444191,0,0.0136736554238833
"219","Boston mini YAH 2016","14 YAH ornaments","Boston","USA",21,18,0,0.041002277904328,0,0.0191431175934366
"220","Atlanta mini YAH 2016","14 YAH ornaments","Atlanta","USA",15,21,1,0.0239179954441913,0.09375,0.0136736554238833
"221","Illinois mini YAH 2016","14 YAH ornaments","Various","USA",21,18,4,0.0082004555808656,0.272727272727273,0.0191431175934366
"222","2016 Pink Heart Valentine's Day Mug","Holiday Mugs","Various","Japan",1,1,0,0.00227790432801822,0,0.000911577028258888
"223","2016 Etched Siren Logo Dark Blue Mug 12oz","Limited Edition","Various","Germany",5,0,0,0,0,0.00455788514129444
"224","2016 Etched Siren Logo Neon Orange Mug 12oz","Limited Edition","Various","Germany",4,0,0,0,0,0.00364630811303555
"225","2016 Etched Siren Logo Neon Pink Mug 12oz","Limited Edition","Various","Germany",6,2,2,0.00151860288534548,0.428571428571429,0.00546946216955333
"226","2016 Cherry Blossom Mug 10oz ( in store exclusive)","Limited Edition","Various","Taiwan",6,2,0,0.00455580865603645,0,0.00546946216955333
"227","2016 Songkran Festival Mug","Limited Edition","Various","Thailand",9,1,3,0.000569476082004556,0.45,0.00820419325432999
"228","2016 Winter Floral Double Wall Swarovski Tumbler 12oz","Limited Edition","Hong Kong","China",6,2,1,0.00227790432801822,0.214285714285714,0.00546946216955333
"229","2016 Cherry Blossom Demimug 3oz","Limited Edition","Various","Taiwan",6,4,1,0.00455580865603645,0.214285714285714,0.00546946216955333
"230","Abstract Art - 2000 Barista","00 Barista Series","Various","USA",2,0,0,0,0,0.00182315405651778
"231","2008 Orange Mug with cream interior 12oz","Limited Edition","Various","Germany",1,0,0,0,0,0.000911577028258888
"232","2016 Sakura Pink Logo Mug 200 ml","Limited Edition","Various","Japan",7,1,0,0.00227790432801822,0,0.00638103919781222
"233","2016 Sakura Pink Logo Mug 380ml","Limited Edition","Various","Japan",6,1,0,0.00227790432801822,0,0.00546946216955333
"234","Caffe Verona Mug","Coffee Blend Series","Various","Japan",2,1,0,0.00227790432801822,0,0.00182315405651778
